Id,Company,Primary Industry,Country,Url,Current Rank,Prior Rank,Executive1,Executive2,Earnings Per Share Growth,Cost Of Goods Sold,Current Liabilities,Total Assets,Long Term Debt,Return On Equity,Revenue,Total Company Assets,Revenue Growth,Net Income,Earnings Per Share,Total Equity,Profit Margin,Debt To Equity Ratio,Inventory Turnover
719,Empresas CMPC SA,Paper,Chile,www.cmpc.cl,719,728,"Hernan Rodriguez Wilson, General Manager","Jacqueline Saquel Mediano, Chief Corporate Affairs",-102.65%,,"$1,062 ","$3,138 ",3942.15,-0.0463755,"$4,841 ","$14,769 ",-0.10%,($3),($102.65),"$7,923 ",-0.08%,0.50%,1066.53
720,Savencia SA,Food,France,www.bongrain.com,720,713,"Alex Bongrain, Chairman","Robert Brzusczak, Deputy Managing Director",46.49%,,"$1,624 ","$1,783 ",210.696,5.09688,"$4,838 ","$3,436 ",-3.58%,$62 ,$46.49 ,"$1,275 ",1.28%,0.17%,467.349
721,MTU Aero Engines AG,Aerospace & Defense,Germany,www.mtu.de,721,764,"Reiner Winkler, Chief Executive Officer","Dr. Rainer Martens, Chief Operating Officer;Executive Board Member",11.23%,,"$2,344 ","$2,226 ",991.4,18.3088,"$4,830 ","$5,651 ",13.32%,$237 ,$11.23 ,"$1,416 ",4.91%,0.70%,973.755
722,Pioneer Natural Resources Co.,Petroleum & Coal Products,United States,www.pxd.com,722,738,"Mr. Scott D. Sheffield, Chairman","Mr. Timothy L. Dove, President;Chief Executive Officer",-128.68%,,"$1,462 ","$3,194 ",3207,-3.18145,"$4,825 ","$15,154 ",-4.55%,($273),($128.68),"$8,368 ",-5.66%,0.38%,155
723,RPM International Inc.,Chemicals,United States,www.rpminc.com,723,832,"Mr. Frank C. Sullivan, Chairman;Chief Executive Officer","Mr. Ronald A. Rice, President;Chief Operating Officer",47.75%,,"$1,002 ","$2,138 ",1646.33,27.4684,"$4,813 ","$4,776 ",4.77%,$354 ,$47.75 ,"$1,372 ",7.37%,1.20%,685.818
724,Thai Beverage Public Co. Ltd.,Beverages,Thailand,www.thaibev.com,724,765,"Mr. Charoen Sirivadhanabhakdi, Executive Chairman","Khunying Wanna Sirivadhanabhakdi, Vice-Chairman",NA,,$918 ,"$1,335 ",718.374,26.1333,"$4,813 ","$5,051 ",6.51%,$734 ,NA,"$3,216 ",15.26%,0.22%,977.076
725,Megmilk Snow Brand Co. Ltd.,Food,Japan,www.meg-snow.com,726,794,"Keiji Nishio, President","Takao Namba, Executive Vice President",NA,,"$1,096 ","$1,179 ",443.43,12.5469,"$4,804 ","$2,859 ",5.19%,$124 ,NA,"$1,080 ",2.60%,0.41%,435.53
726,Kewpie Corp.,Food,Japan,www.kewpie.co.jp,727,783,"Amane Nakashima, Chairman","Minesaburo Miyake, President",NA,,$773 ,"$1,228 ",166.723,8.73156,"$4,803 ","$3,093 ",4.48%,$141 ,NA,"$1,778 ",2.95%,0.09%,235.954
727,Inabata & Co. Ltd.,Computers & Other Electronic Products,Japan,www.inabata.co.jp,728,760,"Katsutaro Inabata, President","Osamu Nishimura, Senior Managing Director",NA,,"$1,147 ","$1,847 ",199.311,7.44889,"$4,793 ","$2,537 ",0.86%,$79 ,NA,"$1,047 ",1.65%,0.19%,372.339
728,Daiwabo Holdings Co. Ltd.,Textiles,Japan,www.daiwabo-holdings.com,725,721,"Masaaki Sakaguchi, Chairman","Yoshihiro Nogami, President",NA,,"$1,266 ","$1,532 ",178.219,9.69976,"$4,805 ","$2,041 ",2.17%,$43 ,NA,$468 ,0.91%,0.38%,264.729
729,Yunnan Tin Co. Ltd.,Primary Metals,China,www.ytl.com.cn,729,854,"Yang Yimin, Executive Deputy General Manager;Secretary","Gu Helin, Deputy General Manager;Subsidiary Officer",-4557.67%,,"$2,198 ","$1,299 ",489.403,-27.839,"$4,785 ","$4,249 ",18.92%,($303),"($4,557.67)","$1,188 ",-6.33%,0.41%,509.493
730,Bandai Namco Holdings Inc.,Miscellaneous,Japan,www.bandainamco.co.jp,731,768,"Shukuo Ishikawa, Chairman","Mitsuaki Taguchi, President",-8.00%,,$949 ,"$2,676 ",,11.4159,"$4,780 ","$3,724 ",1.77%,$287 ,($8.00),"$2,631 ",6.01%,NA,384.126
731,Boliden AB,Primary Metals,Sweden,www.boliden.com,732,762,"Lennart Evrell, President;Chief Executive Officer","Kerstin Konradsson, Senior Vice President",39.05%,,"$1,052 ","$1,316 ",295.951,11.0151,"$4,773 ","$5,103 ",9.08%,$313 ,$39.05 ,"$3,060 ",6.56%,0.10%,919.05
732,Zoetis Inc.,Pharmaceuticals,United States,www.zoetis.com,734,763,"Mr. Frank A. D'Amelio, Chairman","Ms. Kristin C. Peck, Group President;Executive Vice President",-41.38%,,"$1,781 ","$3,830 ",4463,25.8581,"$4,765 ","$7,913 ",-0.42%,$339 ,($41.38),"$1,068 ",7.11%,4.18%,1467
733,Marfrig Global Foods SA,Food,Brazil,www.marfrig.com.br,733,573,"Marcos Antonio Molina dos Santos, Chairman;President","James David Ramsay Cruden, Director",NM,,"$1,365 ","$2,485 ",2794.48,-29.9991,"$4,769 ","$5,280 ",-10.35%,($147),NM,$162 ,-3.10%,17.21%,389.393
734,Liaoni Huajin Tongda Chemicals Co. Ltd.,Petroleum & Coal Products,China,,735,669,Xu Xiaojun,"Wang Liren, Deputy General Manager",NM,,"$2,594 ","$1,358 ",559.265,3.83328,"$4,759 ","$4,606 ",-14.34%,$50 ,NM,"$1,362 ",1.06%,0.41%,507.963
735,UACJ Corp.,Primary Metals,Japan,www.uacj.co.jp,730,NA,"Shigenori Yamauchi, Chairman","Mitsuru Okada, President",NA,,"$2,074 ","$2,188 ",1452.66,2.96277,"$4,782 ","$5,503 ",0.56%,$42 ,NA,"$1,370 ",0.89%,1.06%,907.728
736,Hanon Systems,Machinery,Korea,www.hcc.co.kr,737,745,"Mr. Young-Ju Shin, Chairman;Chief Executive Officer","Mr. Suk-Dong Won, Senior Executive Vice President",-16.28%,,"$1,216 ","$1,694 ",54.8731,14.2419,"$4,724 ","$2,940 ",1.89%,$195 ,($16.28),"$1,482 ",4.15%,0.04%,324.884
737,Italcementi SpA,"Stone, Clay, Glass & Concrete Products",Italy,www.italcementigroup.com,736,729,"Giampiero Pesenti, Chairman","Pierfranco Barabani, Deputy Chairman",NM,NA,"$2,124 ","$2,552 ",2282.47,-3.89192,"$4,751 ","$9,376 ",2.37%,($130),NM,"$3,277 ",-2.75%,0.70%,767.47
738,Polaris Industries Inc.,"Railcars, Ships, & Other Trans. Equip.",United States,www.polaris.com,738,810,"Mr. Scott W. Wine, Chairman;Chief Executive Officer","Mr. Kenneth J. Pucel, Executive Vice President",1.50%,,$826 ,"$1,154 ",458.22,52.0535,"$4,719 ","$2,387 ",5.35%,$455 ,$1.50 ,$991 ,9.65%,0.46%,710.001
739,Aperam SA,Fabricated Metal Products,Luxembourg,www.aperam.com,740,701,"Mr. Lakshmi N. Mittal, Chairman","Mr. Philippe Darmayan, Chief Executive Officer;Senior Executive",78.63%,,"$1,194 ","$1,657 ",450,6.43713,"$4,716 ","$4,299 ",-13.97%,$172 ,$78.63 ,"$2,217 ",3.65%,0.20%,1121
740,Alfa-Laval AB,Machinery,Sweden,www.alfalaval.com,741,788,"Lars Renstrom, Chief Executive Officer;President","Joakim Vilson, Executive Vice President",30.34%,,"$1,851 ","$2,285 ",1480.82,22.4805,"$4,714 ","$6,155 ",13.34%,$455 ,$30.34 ,"$2,170 ",9.66%,0.68%,878.364
741,Toto Ltd.,"Stone, Clay, Glass & Concrete Products",Japan,www.toto.co.jp,739,796,"Kunio Harimoto, Chairman","Madoka Kitamura, President",43.68%,,"$1,466 ","$2,320 ",32.9208,13.1948,"$4,717 ","$4,454 ",4.29%,$296 ,$43.68 ,"$2,297 ",6.29%,0.01%,535.182
742,J.M. Voith AG,Machinery,Germany,www.voith.com,742,588,"Dr. Hubert Lienhard, President;Chief Executive Officer","Dr. Hermann Jung, Executive Member",NA,NA,"$2,881 ","$3,172 ",916.726,-11.8079,"$4,704 ","$5,937 ",-19.44%,($112),NA,$801 ,-2.38%,1.14%,664.964
743,Spectrum Brands Holdings Inc.,Electrical Equipment & Appliances,United States,www.spectrumbrands.com,743,820,"Mr. David M. Maura, Chairman","Mr. Omar M. Asali, Vice-Chairman",-33.83%,,"$1,031 ","$1,732 ",3937.2,14.2706,"$4,690 ","$7,298 ",5.90%,$148 ,($33.83),"$1,563 ",3.17%,2.52%,780.8
744,Hengyi Petrochemical Co. Ltd.,Fabricated Metal Products,China,,745,814,"Fang Xianshui, General Manager","Guo Dan, Deputy General Manager",NM,,"$2,486 ","$1,362 ",81.9681,3.67095,"$4,668 ","$3,881 ",8.04%,$28 ,NM,$962 ,0.61%,0.09%,238.551
745,Activision Blizzard Inc.,Computers & Other Electronic Products,United States,www.activisionblizzard.com,746,824,"Mr. Brian G. Kelly, Chairman","Mr. Michael J. Griffith, Vice-Chairman",5.31%,,"$2,611 ","$3,387 ",4079,12.3324,"$4,664 ","$15,251 ",5.81%,$892 ,$5.31 ,"$8,068 ",19.13%,0.51%,128
746,Hisense Electric Co. Ltd.,Computers & Other Electronic Products,China,www.hisense.com,747,779,"Tian Ye, Deputy General Manager","Dai Huizhong, General Manager",6.36%,,"$1,327 ","$2,837 ",1.00084,13.759,"$4,648 ","$3,221 ",4.08%,$229 ,$6.36 ,"$1,829 ",4.93%,0.00%,431.217
747,Coca-Cola East Japan Co. Ltd.,Beverages,Japan,www.ccej.co.jp,744,829,"Calin Dragan, President;Chief Executive Officer","Jawahar Solai Kippuswa, Executive Vice President",50.35%,,$686 ,"$1,057 ",307.469,2.50736,"$4,678 ","$3,088 ",7.62%,$44 ,$50.35 ,"$1,914 ",0.95%,0.16%,313.475
748,Post Holdings Inc.,Food,United States,www.postholdings.com,748,NA,"Mr. Robert V. Vitale, CPA, President;Chief Executive Officer","Mr. James E. Dwyer, Jr., Executive Vice President;Division Officer",NM,,$611 ,"$1,781 ",4511.4,-5.04993,"$4,648 ","$9,220 ",92.78%,($115),NM,"$2,976 ",-2.48%,1.52%,465.3
749,Geely Automobile Holdings Ltd.,Motor Vehicles,Hong Kong Special Administrative Region of China,www.geelyauto.com.hk,749,944,"Mr. Shu Fu Li, Chairman","Yang Jian, Vice-Chairman",57.91%,,"$3,148 ","$3,902 ",296.996,13.0757,"$4,640 ","$6,512 ",38.64%,$348 ,$57.91 ,"$3,006 ",7.50%,0.10%,188.8
750,Indofood Sukses Makmur TBK,Food,Indonesia,www.indofood.co.id,750,770,"Manuel V. Pangilinan, President",,NA,,"$1,818 ","$3,101 ",1223.57,11.5483,"$4,639 ","$6,651 ",0.74%,$214 ,NA,"$1,975 ",4.63%,0.62%,552.423
751,Smith & Nephew PLC,Medical Instruments & Equipment,United Kingdom,www.smith-nephew.com,751,786,"Dr. Olivier Bohuon, Pharm.D., Chief Executive Officer","Ms. Julie Brown, Chief Financial Officer",-18.13%,,"$1,344 ","$2,475 ",1434,10.1485,"$4,634 ","$7,167 ",0.37%,$410 ,($18.13),"$3,966 ",8.85%,0.36%,1217
752,Acerinox SA,Primary Metals,Spain,www.acerinox.es,753,NA,"Rafael Miranda Robredo, Chairman",,-68.85%,NA,"$1,205 ","$1,969 ",807.281,2.45994,"$4,632 ","$4,493 ",-3.63%,$46 ,($68.85),"$2,101 ",1.01%,0.38%,898.522
753,Nisshin Seifun Group Inc.,Food,Japan,www.nisshin.com,754,863,"Hiroshi Oeda, President","Kazuo Ikeda, Executive Vice President",9.26%,,$887 ,"$1,938 ",36.4347,4.78163,"$4,624 ","$4,571 ",5.81%,$145 ,$9.26 ,"$3,102 ",3.15%,0.01%,598.423
754,Nine Dragons Paper (Holdings) Ltd.,Paper,Hong Kong Special Administrative Region of China,www.ndpaper.com,752,776,"Ms. Yan Cheung, Chairman","Mr. Ming Chung Liu, Deputy Chairman;Chief Executive Officer",-19.59%,,"$2,734 ","$2,806 ",3049.08,5.8636,"$4,633 ","$10,013 ",4.02%,$217 ,($19.59),"$3,884 ",4.69%,0.78%,547.113
755,Kaneka Corp.,Chemicals,Japan,www.kaneka.co.jp,755,826,"Kimikazu Sugawara, Chairman","Mamoru Kadokura, President",17.65%,,"$1,358 ","$2,273 ",529.766,7.0326,"$4,612 ","$4,795 ",0.55%,$174 ,$17.65 ,"$2,429 ",3.78%,0.22%,778.354
756,Perrigo Company PLC,Chemicals,Ireland,www.perrigo.com,756,878,"Mr. John T. Hendrickson, President;Chief Executive Officer","Ms. Judy L. Brown, Executive Vice President;Chief Financial Officer",NA,,NA,NA,NA,1.47247,"$4,603 ","$19,720 ",13.37%,$128 ,NA,"$10,662 ",2.78%,NA,838.9
757,Dassault Aviation SA,Aerospace & Defense,France,www.dassault-aviation.com,757,782,"Eric Trappier, Chief Executive Officer","Loik Segalen, Chief Operating Officer",-43.26%,,"$7,921 ","$6,630 ",1264.82,3.45393,"$4,602 ","$13,293 ",13.51%,$154 ,($43.26),"$4,106 ",3.35%,0.31%,3733.79
758,Wolters Kluwer NV,Publishing & Printing,Netherlands,www.wolterskluwer.com,758,818,"Ms. Nancy McKinstry, Chairman;Chief Executive Officer","Mr. Kevin Entricken, Chief Financial Officer;Executive Board Member",-10.13%,,"$3,017 ","$2,517 ",2511.72,20.0855,"$4,583 ","$8,821 ",14.97%,$460 ,($10.13),"$2,692 ",10.05%,0.93%,152.49
759,Flowserve Corp.,Machinery,United States,www.flowserve.com,760,754,"Mr. William C. Rusnack, Chairman","Mr. Mark A. Blinn, President;Chief Executive Officer",-46.81%,,"$1,359 ","$2,631 ",1570.84,13.8576,"$4,561 ","$5,103 ",-6.50%,$267 ,($46.81),"$1,666 ",5.87%,0.94%,995.565
760,Fortune Brands Home & Security Inc.,Fabricated Metal Products,United States,www.fbhs.com,759,889,"Mr. Christopher J. Klein, Chief Executive Officer","Mr. E. Lee Wyatt, Jr., Senior Vice President;Chief Financial Officer",103.16%,,$757 ,"$1,418 ",1171.6,13.9411,"$4,579 ","$4,878 ",14.10%,$315 ,$103.16 ,"$2,450 ",6.88%,0.48%,555.6
761,Eisai Co. Ltd.,Pharmaceuticals,Japan,www.eisai.co.jp,761,791,"Haruo Naito, Chief Executive Officer","Hideki Hayashi, Chief Information Officer",26.68%,,"$1,285 ","$3,719 ",,9.17464,"$4,551 ","$8,090 ",-0.10%,$456 ,$26.68 ,"$4,765 ",10.03%,NA,612.039
762,K & S AG,Chemicals,Germany,www.k-plus-s.com,762,753,"Mr. Norbert Steiner, Chairman","Dr. Burkhard Lohr, Executive Board Member",42.21%,,"$1,025 ","$2,085 ",1650.05,12.4745,"$4,548 ","$9,011 ",9.26%,$539 ,$42.21 ,"$4,677 ",11.86%,0.35%,768.221
763,Nisshin Steel Co. Ltd.,Fabricated Metal Products,Japan,www.nisshin-steel.co.jp,764,755,"Toshinori Miki, President;Chief Executive Officer","Yukio Nariyoshi, Executive Vice President",NA,,"$1,821 ","$2,154 ",1607.37,-2.51523,"$4,544 ","$5,882 ",-11.42%,($54),NA,"$1,758 ",-1.21%,0.91%,1036.52
764,Hitachi Chemical Co. Ltd.,Chemicals,Japan,www.hitachi-chem.co.jp,765,809,"Kazuyuki Tanaka, Chairman","Hisashi Maruyama, Representative Executive Officer;President",NA,,"$1,114 ","$2,497 ",150.723,11.059,"$4,539 ","$4,445 ",4.08%,$319 ,NA,"$2,959 ",7.05%,0.05%,429.416
765,Walsin Lihwa Corp.,Fabricated Metal Products,Taiwan Province of China,www.walsin.com,763,731,"Yu-Lon Chiao, Chairman;President","Yu-Chun Chiao, Vice-Chairman;Deputy Chief Executive",NA,,$519 ,"$1,558 ",673.14,2.52243,"$4,544 ","$3,185 ",-8.37%,$48 ,NA,"$1,877 ",1.07%,0.36%,688.01
766,Keurig Green Mountain Inc.,Food,United States,www.gmcr.com,767,772,"Mr. Brian P. Kelley, President;Chief Executive Officer","Ms. Kathryn S. Brooks, Vice President",-16.04%,,$602 ,"$1,517 ",447.953,14.4065,"$4,520 ","$4,001 ",-3.99%,$498 ,($16.04),"$2,709 ",11.02%,0.17%,691.98
767,LG Household & Healthcare Ltd.,Miscellaneous,Korea,www.lgcare.com,766,895,"Yeo-Kyung Yoon, Senior Managing Director","Mr. Kyoo-Il Lee, MBA, Chief Financial Officer;Managing Director",31.79%,,$985 ,"$1,131 ",585.128,28.1143,"$4,528 ","$3,582 ",13.93%,$391 ,$31.79 ,"$1,731 ",8.64%,0.34%,375.045
768,Byd Electronic International Co. Ltd.,Computers & Other Electronic Products,China,www.byd-electronic.com,768,NA,"Mr. Ke Li, Chief Executive Officer;Executive Director","Mr. Yi-zao Sun, Chief Operating Officer;Executive Director",NA,,"$1,800 ","$2,224 ",,9.39602,"$4,509 ","$3,425 ",47.67%,$139 ,NA,"$1,624 ",3.10%,NA,607.937
769,Bengang Steel Plates Co. Ltd.,Fabricated Metal Products,China,,769,602,"Zhang Jichen, Secretary","Bao Mingwei, Deputy General Manager",-1518.92%,,"$4,482 ","$2,746 ",154.887,-21.4086,"$4,504 ","$6,846 ",-29.38%,($507),"($1,518.92)","$1,837 ",-11.26%,0.08%,1324.46
770,China Resources Beer Holdings Co. Ltd.,Food,Hong Kong Special Administrative Region of China,www.cre.com.hk,770,189,"Mr. Shibo Qiao, Chairman","Mr. Lang Chen, Managing Director",NM,,"$2,887 ","$1,699 ",591.153,-8.19538,"$4,492 ","$6,586 ",-79.38%,($515),NM,"$1,548 ",-11.47%,0.38%,999.103
771,SK Chemicals Co.,Chemicals,Korea,www.skchemicals.com,771,542,"Mr. Chang-Geun Kim, MBA, Vice-Chairman;Chief Executive Officer","Mr. Chang-Won Choi, Vice-Chairman;Chief Executive Officer",NM,,"$1,179 ","$2,017 ",2041.99,4.52449,"$4,478 ","$5,605 ",-27.66%,$47 ,NM,"$1,272 ",1.05%,1.60%,749.734
772,Imerys SA,"Stone, Clay, Glass & Concrete Products",France,www.imerys.com,773,802,"Gerard Buffiere, Chief Executive Officer","Gilles Michel, Deputy Chief Executive",-75.78%,,"$1,386 ","$2,156 ",1633.82,2.79823,"$4,460 ","$6,719 ",10.89%,$74 ,($75.78),"$2,879 ",1.67%,0.57%,804.164
773,Nippon Paint Co. Ltd.,Chemicals,Japan,www.nipponpaint-holdings.com,774,NA,"Kenji Sakai, Chairman","Tetsushi Tado, President",NA,,"$1,441 ","$2,987 ",13.9891,6.2564,"$4,450 ","$6,574 ",105.59%,$249 ,NA,"$3,900 ",5.60%,0.00%,441.254
774,Hasbro Inc.,Miscellaneous,United States,www.hasbro.com,775,844,"Mr. Alfred J. Verrecchia, Chairman","Mr. Brian D. Goldner, President;Chief Executive Officer",11.56%,,"$1,064 ","$2,865 ",1547.11,30.8282,"$4,447 ","$4,720 ",3.98%,$451 ,$11.56 ,"$1,663 ",10.16%,0.93%,384.492
775,Sapporo Holdings Ltd.,Food,Japan,www.sapporoholdings.jp,778,836,"Tsutomu Kamijo, President;Chief Executive Officer","Junji Watari, Managing Director",NA,,"$1,940 ","$1,298 ",1223.4,3.90779,"$4,433 ","$5,153 ",2.89%,$50 ,NA,"$1,311 ",1.14%,0.93%,320.935
776,Nichirei Corp.,Food,Japan,www.nichirei.co.jp,776,792,"Toshiaki Murai, Chairman","Kunio Otani, President",41.73%,,$790 ,"$1,157 ",601.588,9.15809,"$4,447 ","$2,811 ",2.96%,$111 ,$41.73 ,"$1,249 ",2.52%,0.48%,353.124
777,Westlake Chemical Corp.,Chemicals,United States,www.westlake.com,772,822,"Mr. James Chao, Chairman","Mr. Albert Chao, President;Chief Executive Officer",-4.14%,,$522 ,"$2,175 ",764.115,22.1881,"$4,463 ","$5,575 ",1.09%,$646 ,($4.14),"$3,265 ",14.47%,0.23%,434.06
778,Nisshinbo Holdings Inc.,Miscellaneous,Japan,www.nisshinbo.co.jp,777,828,"Masaya Kawata, President","Masahiro Murakami, Senior Managing Director",-15.47%,,"$1,825 ","$2,528 ",416.557,4.15814,"$4,435 ","$5,414 ",1.95%,$89 ,($15.47),"$1,942 ",2.02%,0.21%,790.765
779,Toshiba TEC Corp.,Computers & Other Electronic Products,Japan,www.toshibatec.co.jp,780,859,"Takayuki Ikeda, President","Masato Yamamoto, Senior Managing Director",NA,,"$1,317 ","$1,617 ",0.132913,-60.3979,"$4,426 ","$2,339 ",1.57%,($859),NA,$477 ,-19.42%,0.00%,389.235
780,Givaudan AG,Chemicals,Switzerland,www.givaudan.com,779,808,"Gilles Andrier, Chief Executive Officer","Mauricio Graber, Division Officer",12.91%,,"$1,021 ","$2,294 ",953.577,18.6053,"$4,426 ","$6,325 ",-0.18%,$639 ,$12.91 ,"$3,438 ",14.45%,0.28%,720.973
781,Rengo Co. Ltd.,Paper,Japan,www.rengo.co.jp,781,831,"Kiyoshi Otsubo, Chairman;President","Moriaki Maeda, Executive Vice President",NA,,"$2,087 ","$1,781 ",1149.68,4.53703,"$4,423 ","$5,355 ",1.89%,$81 ,NA,"$1,794 ",1.84%,0.64%,299.336
782,EnCana Corp.,Petroleum & Coal Products,Canada,www.encana.com,782,521,"Mr. David P. O'Brien, Chairman","Mr. Douglas J. Suttles, President;Chief Executive Officer",-237.12%,NA,"$1,333 ","$1,607 ",5716,-53.3299,"$4,422 ","$15,644 ",-44.86%,"($5,165)",($237.12),"$6,167 ",-116.80%,0.93%,NA
783,Shenergy Co. Ltd.,Electrical Equipment & Appliances,China,www.shenergy.net.cn,783,840,"Xu Guobao, Deputy General Manager","Song Xuefeng, Chief Accounting Officer",3.31%,,"$2,152 ","$1,673 ",797.136,9.18106,"$4,411 ","$7,939 ",12.76%,$328 ,$3.31 ,"$3,676 ",7.44%,0.22%,86.2201
784,Arca Continental SAB de CV,Beverages,Mexico,www.arcacontal.com,785,856,"Manuel L. Barragan Morales, Chairman","Javier L. Barragan Villareal, Honorary Chairman",11.39%,,"$1,098 ","$1,115 ",1856.15,15.7308,"$4,400 ","$7,537 ",23.40%,$417 ,$11.39 ,"$2,938 ",9.48%,0.63%,249.666
785,United Microelectronics Corp.,Computers & Other Electronic Products,Taiwan Province of China,www.umc.com,784,821,"Mr. Stan Hung, Chairman","Mr. Po-Wen Yen, Chief Executive Officer",14.61%,,"$1,505 ","$2,885 ",1446.27,6.12228,"$4,407 ","$10,205 ",3.44%,$403 ,$14.61 ,"$6,781 ",9.15%,0.21%,536.864
786,Valspar Corp.,Chemicals,United States,www.valsparglobal.com,787,807,"Mr. Gary E. Hendrickson, MBA, Chairman;President","Mr. James L. Muehlbauer, CPA, Executive Vice President;Chief Financial Officer",20.95%,,"$1,366 ","$1,631 ",1706.93,39.5124,"$4,392 ","$4,318 ",-2.87%,$399 ,$20.95 ,$855 ,9.09%,2.00%,451.909
787,Unipetrol AS,Petroleum & Coal Products,Czech Republic,www.unipetrol.cz,788,834,"Piotr Chelminski, Chief Executive Officer","Mariusz Kedra, Chief Financial Officer",NM,,$698 ,"$1,286 ",,24.7129,"$4,390 ","$2,196 ",-13.48%,$283 ,NM,"$1,431 ",6.46%,NA,418.826
788,Terumo Corp.,Medical Instruments & Equipment,Japan,www.terumo.co.jp,789,872,"Yutaro Shintaku, President","Hiroshi Matsumura, Executive Vice President",27.48%,,"$1,402 ","$3,113 ",1323.67,8.83595,"$4,361 ","$7,490 ",7.26%,$420 ,$27.48 ,"$4,248 ",9.65%,0.31%,801.232
789,Alon USA Energy Inc.,Petroleum & Coal Products,United States,www.alonusa.com,791,597,"Mr. Ezra Uzi Yemin, Chairman","Mr. Wallace Paul Eisman, President;Chief Executive Officer",36.36%,,$425 ,$504 ,539.542,8.28249,"$4,338 ","$2,176 ",-36.01%,$52 ,$36.36 ,$639 ,1.22%,0.84%,105.515
790,Kuraray Co. Ltd.,Chemicals,Japan,www.kuraray.co.jp,792,972,"Fumio Ito, Chairman","Masaaki Ito, President",NA,,$792 ,"$2,462 ",434.102,NA,"$4,333 ","$5,829 ",NA,$296 ,NA,"$4,120 ",6.85%,0.11%,931.927
791,Sinotruk (Hong Kong) Ltd.,Motor Vehicles,China,www.sinotruk.com,790,719,"Mr. Chunji Ma, Chairman","Mr. Dong Cai, MBA, President;Executive Director",-53.33%,,"$2,774 ","$4,108 ",352.8,1.07426,"$4,358 ","$6,518 ",-13.73%,$31 ,($53.33),"$2,977 ",0.73%,0.12%,977.202
792,Arrium Ltd.,Fabricated Metal Products,Australia,www.arrium.com,793,706,"Bill Gately, Chief Human Resources Officer","Geoffrey J. Plummer, Executive Director",-603.48%,,"$1,094 ","$1,429 ",1372.61,-51.469,"$4,311 ","$4,563 ",-10.14%,"($1,402)",($603.48),"$1,864 ",-32.53%,0.74%,749.519
793,Coty Inc.,Chemicals,United States,www.coty.com,786,800,"Mr. Lambertus (Bart) J.H. Becht, Chairman","Mr. Camillo Pane, Chief Executive Officer",NM,,"$1,526 ","$1,856 ",2605.9,27.5539,"$4,395 ","$6,018 ",-3.44%,$232 ,NM,$969 ,5.29%,2.69%,557.8
794,McCormick & Co. Inc.,Food,United States,www.mccormickcorporation.com,795,850,"Mr. Alan D. Wilson, Chairman;President","Mr. Michael R. Smith, Chief Financial Officer;Executive Vice President",-6.89%,,"$1,240 ","$1,406 ",1052.7,22.4082,"$4,296 ","$4,507 ",1.25%,$401 ,($6.89),"$1,670 ",9.35%,0.63%,710.8
795,Smiths Group PLC,Aerospace & Defense,United Kingdom,www.smiths.com,796,789,"Peter Turner, Director","Sarah L. Cameron, Secretary",5.82%,,"$1,141 ","$2,393 ",1704.24,19.8804,"$4,293 ","$5,898 ",-1.85%,$364 ,$5.82 ,"$2,102 ",8.49%,0.81%,672.803
796,Husqvarna AB,Instruments,Sweden,www.husqvarnagroup.com,797,849,"Kai Warn, President;Chief Executive Officer","Henric Andersson, Executive Vice President",127.78%,,$970 ,"$1,651 ",543.269,15.4979,"$4,290 ","$3,519 ",10.15%,$223 ,$127.78 ,"$1,546 ",5.21%,0.35%,933.996
797,CF Industries Holdings Inc.,Chemicals,United States,www.cfindustries.com,794,767,"Mr. Stephen A. Furbacher, Chairman","Mr. W. Anthony Will, President;Chief Executive Officer",-45.35%,,"$1,215 ","$1,127 ",5592.7,16.6259,"$4,308 ","$12,738 ",-9.17%,$699 ,($45.35),"$4,035 ",16.25%,1.39%,321.2
798,"Grifols SA, Barcelona",Pharmaceuticals,Spain,www.grifols.com,798,875,"Victor Grifols Roura, President;Chief Executive Officer","Ramon Riera Roca, Executive Vice President;Division Officer",13.87%,,"$1,146 ","$3,365 ",,20.0196,"$4,285 ","$10,458 ",17.26%,$579 ,$13.87 ,"$3,590 ",13.52%,NA,1559.09
799,Tsingtao Brewery Co. Ltd.,Food,China,www.tsingtao.com.cn,800,777,"Mr. Zhi Guo Jin, Ph.D., EMBA, Chairman;Legal Representative","Mr. Fan Wang, Vice-Chairman",-13.92%,,"$1,501 ","$1,830 ",0.263575,11.1332,"$4,255 ","$4,388 ",-4.87%,$263 ,($13.92),"$2,534 ",6.20%,0.00%,336.041
800,Hero MotoCorp Ltd.,Motor Vehicles,India,"www.herohonda.com, www.herogroup.com",801,NA,"Mr. Brijmohan Lall Munjal, Chairman","Mr. Pawan Munjal, Managing Director;Chief Executive Officer",12.46%,,$602 ,$813 ,1.81444,42.0568,"$4,238 ","$1,610 ",8.98%,$357 ,$12.46 ,$988 ,8.44%,0.00%,130.245
801,Nissan Shatai Co. Ltd.,Motor Vehicles,Japan,www.nissan-shatai.co.jp,802,890,"Shohei Kimura, President","Yuzo Sakita, Managing Director",NA,,$621 ,"$1,691 ",9.76909,4.74531,"$4,231 ","$2,180 ",7.16%,$65 ,NA,"$1,411 ",1.56%,0.01%,60.6913
